_sum/EssSoc;_sum/EssActivePower;_sum/ProductionActivePower;_sum/ConsumptionActivePower;_sum/GridActivePower
77;373,2;0;357,7666667;-15,43333333
76,83333333;359,9333333;0;339,9333333;-20
76;249,9333333;0;231,5333333;-18,4
76;247,2666667;0;231,1666667;-16,1
76;244,7333333;0;231,5;-13,23333333
75,03333333;248,7666667;0;228,9;-19,86666667
75;247,8666667;0;228,6;-19,26666667
75;339,8666667;0;338,6333333;-1,233333333
74;344,5333333;0;330,8;-13,73333333
74;256,2;0;235;-21,2
74;229,0333333;0;213,7666667;-15,26666667
73;202,7333333;0;182,0333333;-20,7
73;169,7;0;144,1333333;-25,56666667
73;181,1666667;0;165,9;-15,26666667
72,66666667;284,8333333;0;276,5333333;-8,3
72;280,0333333;0;261,2333333;-18,8
72;168,0666667;0;146,4;-21,66666667
72;116,6333333;0;123,1666667;6,533333333
71,36666667;125,5;0;110,7666667;-14,73333333
71;158,4666667;0;142,7;-15,76666667
71;190,1;0;172,4;-17,7
71;257,3666667;0;242,1666667;-15,2
70,13333333;285;0;264,7666667;-20,23333333
70;219,3666667;0;198,3333333;-21,03333333
70;193,6;0;172,9666667;-20,63333333
69,66666667;145,9333333;0;134;-11,93333333
69;113,5;0;103,3333333;-10,16666667
69;137,7;0;111,9333333;-25,76666667
69;234,1333333;0;220,5333333;-13,6
68,4;292,4333333;0;276,4333333;-16
68;218,5666667;0;195,6333333;-22,93333333
68;99,96666667;0;109,0333333;9,066666667
68;92,9;0;91,1;-1,8
67,23333333;161,6333333;0;130,3;-31,33333333
67;141,5666667;0;122,6;-18,96666667
67;201,9333333;0;193,7333333;-8,2
66,93333333;263,5333333;0;243,1;-20,43333333
66;208,6333333;0;183,3;-25,33333333
66;74,4;0;93,83333333;19,43333333
66;86,86666667;0;85,56666667;-1,3
66;154,2;0;112,4;-41,8
65,26666667;159,2;0;121,1666667;-38,03333333
65;227,9333333;0;221,8;-6,133333333
65;280,9655172;0;262,7241379;-18,24137931
64,56666667;202,5666667;0;185,6;-16,96666667
64;130,1666667;0;112,5666667;-17,6
64;112,3333333;0;112,2666667;-0,066666667
64;120,2;0;107,3;-12,9
63,83333333;195,7;0;176,8666667;-18,83333333
63;217,8;0;205,0666667;-12,73333333
63;273,6333333;0;253,3666667;-20,26666667
63;224,2;0;203;-21,2
62,2;163,4666667;0;140,8333333;-22,63333333
62;165,0333333;0;144,1666667;-20,86666667
62;145,2333333;0;125,2;-20,03333333
62;151,4666667;0;129,7;-21,76666667
61,43333333;208,3;0;150,5;-57,8
61;247,5666667;0;284,5666667;37
60,36666667;1429,933333;0;1438,333333;8,4
59,13333333;872,2333333;0;838,0333333;-34,2
58,83333333;291,2;0;277,5;-13,7
58;319,8666667;0;328,4;8,533333333
58;247,8;0;283,6333333;35,83333333
57,73333333;266,6;0;318,3333333;51,73333333
57;401,6666667;0;407,7;6,033333333
57;294,6333333;0;342,3;47,66666667
56,23333333;299,5;0;231,4666667;-68,03333333
56;368,3333333;0;437,0666667;68,73333333
55,73333333;325,6;0;281,5;-44,1
55;171,3666667;0;152,6666667;-18,7
55;202,8;0;191,9;-10,9
55;280,5;0;260,1;-20,4
54,3;249,4;0;225,4666667;-23,93333333
54;167,3333333;0;150,6666667;-16,66666667
54;167,6;0;149,9666667;-17,63333333
54;255,3;0;252,3333333;-2,966666667
53,03333333;219,7;0;191,1;-28,6
53;197,6333333;0;179,2;-18,43333333
53;265,9;0;246,8666667;-19,03333333
52,4;190,5666667;0;156,8333333;-33,73333333
52;143,3666667;0;67,2;-76,16666667
52;579,4666667;0;651,6;72,13333333
51;233,8;0;111,6666667;-122,1333333
51;-110,6333333;0;0;54,6
51;2,066666667;0;0;-31,63333333
51;-64,1;0;0;36,7
51;-86,1;0;0;-33,33333333
51;-243,9666667;42;0;3,966666667
51;-326,3666667;504,9;186,9333333;8,4
51;-438,8333333;612,6333333;179,7666667;5,933333333
52;-495;649,3;170,1666667;16,06666667
52;-495,5;702,3;217,3333333;10,63333333
52,13333333;-604,2333333;876,7333333;280,3;7,7
53;-657,4;885,0666667;216,7666667;-10,76666667
53;350,4666667;1150,966667;1611,166667;109,7333333
52;827,0333333;1177,366667;1847,1;-157,3
52;-1217,866667;1352,766667;137,4333333;2,566666667
53;-1331,866667;1489,066667;134,2;-22,9
54,16666667;-1536,4;1755,9;195,1333333;-24,36666667
55;-1580,3;1905,7;297,9333333;-27,36666667
56,46666667;-1855,7;2127,566667;236,2333333;-35,53333333
58;-2076,566667;2252,366667;163,4;-12,33333333
59;-2244,4;2381,6;141,0333333;3,833333333
61;-1293,033333;2554,666667;1367,933333;106,3
61;74,86666667;2151,2;2204,933333;-21,1
61;-576,8;2774,233333;2206,4;8,866666667
62;-2195,533333;2665,533333;420,3;-49,76666667
63,7;-2192,166667;2422,966667;224,5666667;-6,166666667
65,43333333;-2268,5;2384,6;125,0666667;9
67;-2312,9;2466,266667;138,9;-14,53333333
68,8;-2469,7;2608,8;149,8666667;10,76666667
70,63333333;-2620,266667;2702,666667;127,6333333;45,16666667
73;-2670,4;2800,5;126,8666667;-3,133333333
74,56666667;-2761,366667;2969,033333;183,8;-23,8
77;-2892,633333;3064,6;167,4333333;-4,4
79;-3067,666667;3168,833333;98,96666667;-2,266666667
81,06666667;-3202,1;3309,933333;122;14,1
83,4;-3209,9;3317,3;140,8333333;33,3
86;-3097,4;3256,2;137,3666667;-21,33333333
87,93333333;-2896,6;3091,066667;196,9666667;2,466666667
89,96666667;-2856,6;3095,8;247,1666667;7,966666667
92,06666667;-2940,333333;3135,733333;230,7333333;35,2
94,2;-2905,433333;3024,866667;152,1;32,83333333
96,26666667;-2940,533333;3018,4;82,76666667;5
98,63333333;-2221,566667;3221,466667;82,56666667;-917,3
100;1,4;3335,633333;181,0333333;-3156
100;0;3379,4;221,7;-3157,7
100;0;3429,5;295,3333333;-3134,166667
100;0;3497,5;262,5333333;-3234,966667
100;0;3530,833333;158,5;-3372,333333
100;0;3478,566667;180,9;-3297,666667
100;0;3529,275862;184,137931;-3345,137931
100;0;3435,533333;226,0333333;-3209,5
100;0;3266,533333;325,2666667;-2941,266667
100;0;3364,933333;1911,533333;-1453,4
100;0;3402,066667;319,3333333;-3082,733333
100;0;3242,6;302,5333333;-2940,066667
100;0;3231,1;233,7;-2997,4
100;0;3390,233333;294,3666667;-3095,866667
100;0;3412,8;1601,833333;-1810,966667
100;0;3423,766667;2264,333333;-1159,433333
100;0;3452,866667;2349,233333;-1103,633333
100;0;3469,366667;2300,5;-1168,866667
100;0;3448,3;2270,866667;-1177,433333
100;0;3346,933333;1443,9;-1903,033333
100;0;3558,366667;283,2;-3275,166667
100;0;3561,366667;263,2333333;-3298,133333
100;0;3605,1;322,1;-3283
100;0;3651,3;377,3666667;-3273,933333
100;0;3639,633333;341,8;-3297,833333
100;0;3713,133333;262,6666667;-3450,466667
100;0;3856,9;271,1333333;-3585,766667
100;0;3995,366667;252,7;-3742,666667
100;0;3987,466667;303,2333333;-3684,233333
100;0;4232,5;294,2666667;-3938,233333
100;0;4359,266667;375,4666667;-3983,8
100;0;4357,233333;335,5333333;-4021,7
100;0;4413,366667;259,1;-4154,266667
100;0;4610,533333;304,0666667;-4306,466667
100;0;4592,133333;314,2666667;-4277,866667
100;0;4401,033333;316,1666667;-4084,866667
100;0;4068,933333;318,2333333;-3750,7
100;0;4319,266667;437,2333333;-3882,033333
100;0;3903,5;409,4;-3494,1
100;0;2242,333333;391,1666667;-1851,166667
100;0;1366,666667;378,5;-988,1666667
100;0;1356;125,9333333;-1230,066667
100;0;3350,1;387,1;-2963
100;0;1692,9;374,6666667;-1318,233333
100;0;1724,333333;355,4333333;-1368,9
100;0;3201,933333;246,5333333;-2955,4
100;0;4628,2;410,7333333;-4217,466667
100;0;1893,966667;236,8;-1657,166667
100;0;1739,310345;145,0344828;-1594,275862
100;0;1402,733333;153,3;-1249,433333
100;0;1218,933333;192,8666667;-1026,066667
100;0;1123;254,9;-868,1
100;0;1164,033333;195,2;-968,8333333
100;0;1769,133333;1,1;-1768,033333
100;0;4565,8;135,6666667;-4430,133333
100;0;2526,533333;219,4333333;-2307,1
100;0;4523,3;180,8666667;-4342,433333
100;0;4527,3;294,7666667;-4232,533333
100;0;4450,566667;362,9;-4087,666667
100;0;4425,133333;248,2333333;-4176,9
100;0;4624,633333;337,8;-4286,833333
100;0;2564,733333;200,6;-2364,133333
100;0;2174,166667;168,4;-2005,766667
100;0;2534,466667;157,3666667;-2377,1
100;0;3678,033333;72,03333333;-3606
100;0;5232,366667;463,1666667;-4769,2
100;0;3242,2;228,5333333;-3013,666667
100;0;2876,5;219;-2657,5
100;0;2574,266667;165,6333333;-2408,633333
100;0;2312,966667;139,6666667;-2173,3
100;0;2586;133,5333333;-2452,466667
100;0;3545,066667;176,9666667;-3368,1
100;0;3557,766667;244,3;-3313,466667
100;0;3622,866667;310,1666667;-3312,7
100;0;1968,7;235,6;-1733,1
100;0;1566,3;197,4;-1368,9
100;0;1231,1;178,9;-1052,2
100;0;1209,166667;170,1666667;-1039
100;14,53333333;1305,066667;225,0666667;-1094,533333
100;0;1331,7;346,2333333;-985,4666667
100;0;1399,866667;208,5333333;-1191,333333
100;0;1700,066667;133,2333333;-1566,833333
100;0;1451,733333;209,8333333;-1241,9
100;0;1154,166667;170,3666667;-983,8
100;0;1016,6;163,4;-853,2
100;0;1003,466667;210,3333333;-793,1333333
100;0;993,8666667;258,4333333;-735,4333333
100;0;978,0333333;222,0333333;-756
100;0;946,8333333;163,2;-783,6333333
100;0;916,0666667;163,1;-752,9666667
100;0;881,3333333;171,7666667;-709,5666667
100;0;842,5666667;146,3;-696,2666667
99,96551724;9,310344828;803,7586207;182,2068966;-630,8965517
100;0;773,0333333;245,8333333;-527,2
100;0;731,2666667;204,0666667;-532,2
100;0;685,1;136,3;-548,8
100;0;635,3333333;164,4;-470,9333333
100;0;572,7;172,3333333;-400,3666667
100;0;506;172,7666667;-333,2333333
100;0;276,5;41,16666667;-235,3333333
100;0;0;0;-136,2
100;0;0;0;-142,7666667
100;0;0;0;-163,4666667
100;0;0;0;-121,3666667
100;0;0;0;-85,76666667
100;7,033333333;0;0;-81,13333333
99,8;26,43333333;0;0;-30,73333333
99,66666667;66,13333333;0;32,36666667;-33,76666667
100;63,46666667;0;12,86666667;-50,6
100;47,23333333;0;0;-76,06666667
100;72,8;0;43,56666667;-29,23333333
98;129,0333333;0;123;-6,033333333
95,76666667;3710,066667;0;3885,933333;175,8666667
92,83333333;2269,1;0;2421,066667;151,9666667
90,76666667;1736,9;0;1819,9;83
89,66666667;796,1;0;853,0666667;56,96666667
89;383,7333333;0;366,8666667;-16,86666667
88,96666667;375,3333333;0;355,6666667;-19,66666667
88;339,9666667;0;328,9;-11,06666667
88;478,2666667;0;461,7666667;-16,5
86,96666667;1471,266667;0;1472,8;1,533333333
86;365,4;0;360,3333333;-5,066666667
85,66666667;468,5;0;446,0666667;-22,43333333
85;340;0;323,3666667;-16,63333333
85;357,7;0;341,4666667;-16,23333333
84,23333333;342,2333333;0;325,1333333;-17,1
84;419,3666667;0;421,7666667;2,4
83,53333333;433,5;0;422,7333333;-10,76666667
83;484,8333333;0;529,9333333;45,1
82,56666667;407,0333333;0;336,8333333;-70,2
82;315,1333333;0;293,5333333;-21,6
82;280,3333333;0;259,7;-20,63333333
81,43333333;254,6333333;0;268,2666667;13,63333333
81;357,9;0;338,6666667;-19,23333333
81;337,5333333;0;321,3333333;-16,2
80,16666667;191,3;0;172,0333333;-19,26666667
80;181,3666667;0;168;-13,36666667
80;182,5;0;165,5333333;-16,96666667
80;184,1666667;0;165,4;-18,76666667
79,2;197,7666667;0;193,8333333;-3,933333333
79;289,4666667;0;270,9666667;-18,5
79;272,3;0;252,5;-19,8
78,46666667;186,2333333;0;166,6;-19,63333333
78;185,2333333;0;175;-10,23333333
78;189,9333333;0;178,1666667;-11,76666667
78;202,3;0;192,0333333;-10,26666667
77,33333333;240,3;0;229,2333333;-11,06666667
77;299,9333333;0;285,1;-14,83333333
77;261,1666667;0;239,4333333;-21,73333333
76,5;184,1666667;0;164,2;-19,96666667
76;185;0;164,9666667;-20,03333333
76;183,6666667;0;163,5666667;-20,1
76;176,9666667;0;161,9666667;-15
75,56666667;221,2333333;0;209,8666667;-11,36666667
75;287,4;0;267,1666667;-20,23333333
75;236,7;0;218,6;-18,1
74,93333333;171,0666667;0;160,1666667;-10,9
74;174,4333333;0;164,4333333;-10
74;180,4333333;0;170,2;-10,23333333
74;194,3;0;183,8666667;-10,43333333
73,76666667;256,5;0;246,6;-9,9
73;313,5;0;293,3333333;-20,16666667
73;272,375;0;247,75;-24,625
